R,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,T,P
0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,2,0,0,2,0,0,0,4,4,0,4,0,4,0,4,0,0,0,4,0,0,0,0,4,5,0,0,0,0,4,4,0,4,4,0,4,4,0,0,200000300000000000030030000200200,044040404000400004500004404404400
0,0,0,0,2,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,3,4,4,0,0,0,4,0,0,0,4,4,4,0,4,0,4,0,0,4,0,4,0,0,0,5,4,0,0,0,0,0,4,4,000200200000300000020000000300003,440004000444040400404000540000044
0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,3,2,0,0,0,0,0,0,0,0,4,0,4,0,4,0,4,0,0,4,0,4,0,0,0,4,0,0,4,0,0,4,4,4,4,0,0,0,0,0,4,0,5,203000000000000200000033200000000,404040400404000400400444400000405
0,0,0,0,0,0,0,0,2,0,0,3,3,0,0,0,0,0,0,0,0,0,2,0,3,0,2,0,0,0,0,0,0,0,5,0,0,4,0,4,0,4,0,0,4,0,4,0,4,4,0,0,4,4,0,0,0,0,4,0,4,4,0,0,0,0,4,000000020033000000000203020000000,500404040040404400440000404400004
0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,3,0,0,0,0,0,2,0,3,0,0,0,0,0,3,0,0,0,0,4,0,0,0,4,0,4,4,4,0,5,4,4,0,4,0,0,0,0,0,0,0,0,4,4,4,0,4,0,0,4,000000000002002030000020300000300,004000404440544040000000044404004
0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,3,3,0,4,4,0,0,0,0,4,0,4,4,0,0,0,0,0,4,0,4,0,0,4,0,4,4,4,4,5,0,0,0,0,4,0,000000030000200000020000200000330,440000404400000404004044445000040
0,0,0,0,2,0,0,3,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,4,4,4,0,0,4,0,0,4,0,0,0,4,4,0,0,0,4,0,4,0,4,0,0,0,5,0,4,0,4,0,4,000200330000200000000003020000000,044400400400044000404040005040404
0,3,0,3,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,4,4,4,4,0,4,0,4,4,4,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,5,0,0,0,4,4,4,0,303000200000020000000000200300000,444404044400000400000004050004440
0,2,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,2,0,0,4,4,5,4,4,0,0,4,0,0,0,0,0,0,4,0,0,4,4,4,0,4,4,0,0,4,0,0,0,0,0,0,4,203030000000000000000003000200200,445440040000004004440440040000004
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,2,0,0,3,3,0,0,0,2,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0,0,4,4,4,0,4,4,0,0,0,4,4,0,4,4,0,4,4,0,4,0,000000000000002000300200330002000,000050004000044404400044044044040
0,0,0,0,3,0,0,0,0,0,2,0,0,2,3,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,4,0,0,0,4,4,4,4,4,5,0,4,4,0,0,0,0,4,0,0,0,0,0,4,4,000300000200230030200000000000000,000044004000444445044000040000044
0,2,0,0,3,0,0,0,3,0,0,0,0,2,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,4,4,4,0,4,0,0,0,0,4,4,0,0,4,0,4,0,0,0,0,0,5,0,0,4,4,0,4,200300030000203000000200000000000,004404440400004400404000005004404
0,0,0,0,0,0,0,0,0,0,0,3,2,3,0,0,0,0,0,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,4,0,0,0,0,0,0,0,5,4,4,0,0,0,0,4,4,0,4,4,0,4,4,0,4,4,000000000032300000223000000000000,000400440000000544000044044044044
0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,3,0,3,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,0,0,4,4,0,0,4,0,0,0,4,0,0,0,4,5,4,0,0,0,4,4,0,0,4,002000000002003030030000020000000,000044440044004000400045400044004
0,0,0,0,0,0,0,0,0,2,0,3,0,3,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,0,4,0,4,5,4,0,0,0,0,0,4,4,0,4,4,0,4,4,4,0,0,000000002030300003000020000020000,000000040440404540000044044044400
1,0,2,2,0,0,0,0,0,0,0,0,0,0,3,3,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,4,0,0,4,0,4,4,0,0,0,0,4,0,5,0,4,4,0,0,0,0,4,4,0,4,0,4,0,0,022000000000033002000300000000000,044040040440000405044000044040400
0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,2,0,0,0,2,0,0,4,0,4,0,0,0,4,0,5,0,0,0,0,4,4,4,4,4,0,4,0,0,0,0,0,4,4,0,4,0,0,4,0,000000020000300000030300002000200,404000405000044444040000044040040
1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,3,0,0,3,4,4,4,0,0,0,4,0,0,4,4,4,0,0,0,4,0,4,0,0,4,0,5,0,0,4,0,4,4,0,0,0,0,000030000000000202020000000003003,444000400444000404004050040440000
