EOD
R,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,T,P
0,0,0,0,2,0,2,3,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,4,0,4,0,0,0,0,4,4,0,0,5,4,0,4,4,4,0,0,4,4,0,0,4,0,0,0,0,0,0,0,4,4,000202300000000003003000000000020,404000044005404440044004000000044
1,0,0,0,2,0,2,3,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,4,0,4,0,0,0,0,4,4,0,0,5,4,0,4,4,4,0,0,4,4,0,0,4,0,0,0,0,0,0,0,4,4,000202300000000003003000000000020,404000044005404440044004000000044
1,0,0,0,2,0,2,3,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,4,0,4,0,0,0,0,4,4,0,0,5,4,0,4,4,4,0,0,4,4,0,0,4,0,0,0,0,0,0,0,4,4,000202300000000003003000000000020,404000044005404440044004000000044
0,0,0,0,2,0,2,3,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,4,0,4,0,0,0,0,4,4,0,0,5,4,0,4,4,4,0,0,4,4,0,0,4,0,0,0,0,0,0,0,4,4,000202300000000003003000000000020,404000044005404440044004000000044
1,0,0,0,2,0,2,3,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,4,0,4,0,0,0,0,4,4,0,0,5,4,0,4,4,4,0,0,4,4,0,0,4,0,0,0,0,0,0,0,4,4,000202300000000003003000000000020,404000044005404440044004000000044
0,0,0,0,2,0,2,3,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,4,0,4,0,0,0,0,4,4,0,0,5,4,0,4,4,4,0,0,4,4,0,0,4,0,0,0,0,0,0,0,4,4,000202300000000003003000000000020,404000044005404440044004000000044
1,0,0,0,2,0,2,3,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,4,0,4,0,0,0,0,4,4,0,0,5,4,0,4,4,4,0,0,4,4,0,0,4,0,0,0,0,0,0,0,4,4,000202300000000003003000000000020,404000044005404440044004000000044
0,0,0,0,2,0,2,3,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,4,0,4,0,0,0,0,4,4,0,0,5,4,0,4,4,4,0,0,4,4,0,0,4,0,0,0,0,0,0,0,4,4,000202300000000003003000000000020,404000044005404440044004000000044
1,0,0,0,2,0,2,3,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,4,0,4,0,0,0,0,4,4,0,0,5,4,0,4,4,4,0,0,4,4,0,0,4,0,0,0,0,0,0,0,4,4,000202300000000003003000000000020,404000044005404440044004000000044
0,0,0,0,2,0,2,3,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,4,0,4,0,0,0,0,4,4,0,0,5,4,0,4,4,4,0,0,4,4,0,0,4,0,0,0,0,0,0,0,4,4,000202300000000003003000000000020,404000044005404440044004000000044
0,0,0,0,2,0,2,3,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,4,0,4,0,0,0,0,4,4,0,0,5,4,0,4,4,4,0,0,4,4,0,0,4,0,0,0,0,0,0,0,4,4,000202300000000003003000000000020,404000044005404440044004000000044
EOD
0,0,2,0,0,0,0,0,0,0,0,0,2,3,0,3,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,4,4,4,4,5,0,4,4,0,0,0,0,0,4,0,0,4,4,0,0,4,0,0,4,4,0,0,4,0,0,0,020000000002303000000020030000000,004444504400000400440040044004000
0,0,2,0,0,0,0,0,0,0,0,0,2,3,0,3,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,4,4,4,4,5,0,4,4,0,0,0,0,0,4,0,0,4,4,0,0,4,0,0,4,4,0,0,4,0,0,0,020000000002303000000020030000000,004444504400000400440040044004000
